Reference.Informal.Unpublished <-> Entry.Unpublished
Reference.Book.title <-> Entry.Incollection.hasTitle
Reference.Book.title <-> Entry.Inproceedings.hasTitle
Reference.Book.title <-> Entry.Manual.hasTitle
Reference.Book.title <-> Entry.Mastersthesis.hasTitle
Reference.Book.title <-> Entry.Phdthesis.hasTitle
Reference.Book.title <-> Entry.Proceedings.hasTitle
Reference.Book.title <-> Entry.TechReport.hasTitle
Reference.Informal.title <-> Entry.Unpublished.hasTitle
Reference.Part.title <-> Entry.Article.hasTitle
Reference.Part.title <-> Entry.Book.hasTitle
Reference.Part.title <-> Entry.Booklet.hasTitle
Reference.Part.title <-> Entry.Inbook.hasTitle
Reference.Part.title <-> Entry.Incollection.hasTitle
Reference.Part.title <-> Entry.Inproceedings.hasTitle
Reference.Part.title <-> Entry.Manual.hasTitle
Reference.Part.title <-> Entry.Mastersthesis.hasTitle
Reference.Part.title <-> Entry.Phdthesis.hasTitle
Reference.Part.title <-> Entry.Proceedings.hasTitle
Reference.Part.title <-> Entry.TechReport.hasTitle
Reference.Academic.title <-> Entry.Article.hasTitle
Reference.Academic.title <-> Entry.Book.hasTitle
Reference.Academic.title <-> Entry.Booklet.hasTitle
Reference.Academic.title <-> Entry.Inbook.hasTitle
Reference.Academic.title <-> Entry.Incollection.hasTitle
Reference.Academic.title <-> Entry.Inproceedings.hasTitle
Reference.Academic.title <-> Entry.Manual.hasTitle
Reference.Academic.title <-> Entry.Mastersthesis.hasTitle
Reference.Academic.title <-> Entry.Phdthesis.hasTitle
Reference.Academic.title <-> Entry.Proceedings.hasTitle
Reference.Academic.title <-> Entry.TechReport.hasTitle
Reference.Report.title <-> Entry.Article.hasTitle
Reference.Report.title <-> Entry.Book.hasTitle
Reference.Report.title <-> Entry.Booklet.hasTitle
Reference.Report.title <-> Entry.Inbook.hasTitle
Reference.Report.title <-> Entry.Incollection.hasTitle
Reference.Report.title <-> Entry.Inproceedings.hasTitle
Reference.Report.title <-> Entry.Manual.hasTitle
Reference.Report.title <-> Entry.Mastersthesis.hasTitle
Reference.Report.title <-> Entry.Phdthesis.hasTitle
Reference.Report.title <-> Entry.Proceedings.hasTitle
Reference.Report.title <-> Entry.TechReport.hasTitle
Reference.Informal.Manual.title <-> Entry.Manual.hasTitle
Reference.Informal.Manual.title <-> Entry.Unpublished.hasTitle
Reference.Informal.Unpublished.title <-> Entry.Manual.hasTitle
Reference.Informal.Unpublished.title <-> Entry.Unpublished.hasTitle
Reference.Informal.Booklet <-> Entry.Booklet
Reference.Informal.LectureNotes <-> Entry
Reference.Academic.MastersThesis <-> Entry.Mastersthesis
Reference.Report.TechReport <-> Entry.TechReport
Reference.Report.institution <-> Entry.TechReport.hasInstitution
Reference.Book.publisher <-> Entry.Book.hasPublisher
Reference.Book.publisher <-> Entry.Inbook.hasPublisher
Reference.Book.publisher <-> Entry.Incollection.hasPublisher
Reference.Academic.school <-> Entry.Mastersthesis.hasSchool
Reference.Academic.school <-> Entry.Phdthesis.hasSchool
Reference.Misc <-> Entry.Misc
Reference.Part.InCollection.collection <-> Entry.Incollection.hasBooktitle
Reference.Part.InCollection.collection <-> Entry.Inproceedings.hasBooktitle
Reference.Book.Collection <-> Entry.Book
Reference.Part.Article <-> Entry.Article
Reference.Informal <-> Entry
Reference.Book <-> Entry.Book
Reference.Part.InProceedings.proceedings <-> Entry.Incollection.hasBooktitle
Reference.Part.InProceedings.proceedings <-> Entry.Inproceedings.hasBooktitle
Reference.Academic.PhdThesis <-> Entry.Phdthesis
Reference.Book.Proceedings <-> Entry.Proceedings
Reference <-> Entry
Reference.Part.InCollection <-> Entry.Incollection
Reference.author <-> Entry.Article.hasAuthor
Reference.author <-> Entry.Incollection.hasAuthor
Reference.author <-> Entry.Inproceedings.hasAuthor
Reference.author <-> Entry.Mastersthesis.hasAuthor
Reference.author <-> Entry.Phdthesis.hasAuthor
Reference.author <-> Entry.TechReport.hasAuthor
Reference.author <-> Entry.Unpublished.hasAuthor
Reference.Academic.author <-> Entry.Article.hasAuthor
Reference.Academic.author <-> Entry.Incollection.hasAuthor
Reference.Academic.author <-> Entry.Inproceedings.hasAuthor
Reference.Academic.author <-> Entry.Mastersthesis.hasAuthor
Reference.Academic.author <-> Entry.Phdthesis.hasAuthor
Reference.Academic.author <-> Entry.TechReport.hasAuthor
Reference.Report.author <-> Entry.Article.hasAuthor
Reference.Report.author <-> Entry.Incollection.hasAuthor
Reference.Report.author <-> Entry.Inproceedings.hasAuthor
Reference.Report.author <-> Entry.Mastersthesis.hasAuthor
Reference.Report.author <-> Entry.Phdthesis.hasAuthor
Reference.Report.author <-> Entry.TechReport.hasAuthor
Reference.Informal.Unpublished.author <-> Entry.Unpublished.hasAuthor
Reference.Part.Article.author <-> Entry.Article.hasAuthor
Reference.Part.Article.author <-> Entry.Incollection.hasAuthor
Reference.Part.Article.author <-> Entry.Inproceedings.hasAuthor
Reference.Part.Article.author <-> Entry.Mastersthesis.hasAuthor
Reference.Part.Article.author <-> Entry.Phdthesis.hasAuthor
Reference.Part.Article.author <-> Entry.TechReport.hasAuthor
Reference.Part.InBook.author <-> Entry.Article.hasAuthor
Reference.Part.InBook.author <-> Entry.Incollection.hasAuthor
Reference.Part.InBook.author <-> Entry.Inproceedings.hasAuthor
Reference.Part.InBook.author <-> Entry.Mastersthesis.hasAuthor
Reference.Part.InBook.author <-> Entry.Phdthesis.hasAuthor
Reference.Part.InBook.author <-> Entry.TechReport.hasAuthor
Reference.Part.InCollection.author <-> Entry.Article.hasAuthor
Reference.Part.InCollection.author <-> Entry.Incollection.hasAuthor
Reference.Part.InCollection.author <-> Entry.Inproceedings.hasAuthor
Reference.Part.InCollection.author <-> Entry.Mastersthesis.hasAuthor
Reference.Part.InCollection.author <-> Entry.Phdthesis.hasAuthor
Reference.Part.InCollection.author <-> Entry.TechReport.hasAuthor
Reference.Part.InCollection.author <-> Entry.Unpublished.hasAuthor
Reference.Part.InProceedings.author <-> Entry.Article.hasAuthor
Reference.Part.InProceedings.author <-> Entry.Incollection.hasAuthor
Reference.Part.InProceedings.author <-> Entry.Inproceedings.hasAuthor
Reference.Part.InProceedings.author <-> Entry.Mastersthesis.hasAuthor
Reference.Part.InProceedings.author <-> Entry.Phdthesis.hasAuthor
Reference.Part.InProceedings.author <-> Entry.TechReport.hasAuthor
Reference.Report <-> Entry
Reference.Informal.Unpublished.note <-> Entry.Unpublished.hasNote
Reference.Book.humanCreator <-> Entry.Book.humanCreator
Reference.Book.humanCreator <-> Entry.Inbook.humanCreator
Reference.Part <-> Entry
Reference.Informal.Manual <-> Entry.Manual
Reference.Part.InProceedings <-> Entry.Inproceedings
Reference.Part.Article.journal <-> Entry.Article.hasJournal
Reference.Book.Monograph <-> Entry.Book
Reference.Report.Deliverable <-> Entry
