Reference.Part.InProceedings.proceedings <-> Resource.Reference.Text.Part.InProceedings.proceedings
Reference.Report.title <-> Resource.Reference.title
Reference.Report.title <-> Resource.Reference.Text.Book.title
Reference.Report.title <-> Resource.Reference.Text.Part.title
Reference.Report.title <-> Resource.Reference.Text.Academic.title
Reference.Report.title <-> Resource.Reference.Text.Report.title
Reference.Informal.Manual.title <-> Resource.Reference.title
Reference.Informal.Manual.title <-> Resource.Reference.Text.Informal.title
Reference.Informal.Manual.title <-> Resource.Reference.Text.Informal.Manual.title
Reference.Informal.Manual.title <-> Resource.Reference.Text.Informal.Unpublished.title
Reference.Informal.Unpublished.title <-> Resource.Reference.title
Reference.Informal.Unpublished.title <-> Resource.Reference.Text.Informal.title
Reference.Informal.Unpublished.title <-> Resource.Reference.Text.Informal.Manual.title
Reference.Informal.Unpublished.title <-> Resource.Reference.Text.Informal.Unpublished.title
Reference.Informal.Booklet <-> Resource.Reference.Text.Informal.Booklet
Reference.Informal.LectureNotes <-> Resource.Reference.Text.Informal.LectureNotes
Reference.Academic.MastersThesis <-> Resource.Reference.Text.Academic.MastersThesis
Reference.Part.pages <-> Resource.Reference.Text.Part.pages
Reference.Part.pages <-> Resource.Reference.Text.Part.JournalPart.pages
Reference.Part.pages <-> Resource.Reference.Text.Part.InBook.pages
Reference.Part.Article.pages <-> Resource.Reference.Text.Part.pages
Reference.Part.Article.pages <-> Resource.Reference.Text.Part.JournalPart.pages
Reference.Part.Article.pages <-> Resource.Reference.Text.Part.InBook.pages
Reference.Part.InBook.pages <-> Resource.Reference.Text.Part.pages
Reference.Part.InBook.pages <-> Resource.Reference.Text.Part.JournalPart.pages
Reference.Part.InBook.pages <-> Resource.Reference.Text.Part.InBook.pages
Reference.Report.TechReport <-> Resource.Reference.Text.Report.InstitutionReport.SerialReport.WorkReport.TechReport
Reference.Book.edition <-> Resource.Reference.Text.Book.edition
Reference.Book.edition <-> Resource.Reference.Text.Informal.Manual.edition
Reference.Informal.Manual.edition <-> Resource.Reference.Text.Book.edition
Reference.Informal.Manual.edition <-> Resource.Reference.Text.Informal.Manual.edition
Reference.Report.institution <-> Resource.Reference.Text.Report.institution
Reference.Part.isPartOf <-> Resource.Reference.Text.Part.isPartOf
Reference.Book.Proceedings.organization <-> Resource.Reference.Text.Book.Proceedings.organization
Reference.Informal.Manual.organization <-> Resource.Reference.Text.Informal.Manual.organization
Reference.Book.publisher <-> Resource.Reference.Text.Book.publisher
Reference.Academic.school <-> Resource.Reference.Text.Academic.school
Reference.Misc <-> Resource.Reference.Text.Misc
Reference.Part.InCollection.collection <-> Resource.Reference.Text.Part.InCollection.collection
Reference.Book.Collection <-> Resource.Reference.Text.Book.Collection
Reference.Academic <-> Resource.Reference.Text.Academic
Reference.MotionPicture <-> Resource.Reference.MotionPicture
Reference.Part.Article <-> Resource.Reference.Text.Part.JournalPart.Article
Reference.Informal <-> Resource.Reference.Text.Informal
Reference.Book.Proceedings.event <-> Resource.Reference.Text.Book.Proceedings.event
Reference.Book <-> Resource.Reference.Text.Book
Reference.Part.InBook.book <-> Resource.Reference.Text.Part.InBook.book
Reference.Academic.PhdThesis <-> Resource.Reference.Text.Academic.PhdThesis
Reference.Book.Proceedings <-> Resource.Reference.Text.Book.Proceedings
Reference.Report.number <-> Resource.Reference.Text.Report.number
Reference.Report.number <-> Resource.Reference.Text.Part.JournalPart.number
Reference.Part.Article.number <-> Resource.Reference.Text.Report.number
Reference.Part.Article.number <-> Resource.Reference.Text.Part.JournalPart.number
Reference <-> Resource.Reference
Reference.Part.InCollection <-> Resource.Reference.Text.Part.InCollection
Reference.author <-> Resource.Reference.Text.Book.author
Reference.author <-> Resource.Reference.Text.Academic.author
Reference.author <-> Resource.Reference.Text.Report.author
Reference.author <-> Resource.Reference.Text.Informal.Unpublished.author
Reference.author <-> Resource.Reference.Text.Part.JournalPart.author
Reference.author <-> Resource.Reference.Text.Part.InBook.author
Reference.author <-> Resource.Reference.Text.Part.InCollection.author
Reference.author <-> Resource.Reference.Text.Part.InProceedings.author
Reference.Academic.author <-> Resource.Reference.Text.Book.author
Reference.Academic.author <-> Resource.Reference.Text.Academic.author
Reference.Academic.author <-> Resource.Reference.Text.Report.author
Reference.Academic.author <-> Resource.Reference.Text.Part.JournalPart.author
Reference.Academic.author <-> Resource.Reference.Text.Part.InBook.author
Reference.Academic.author <-> Resource.Reference.Text.Part.InCollection.author
Reference.Academic.author <-> Resource.Reference.Text.Part.InProceedings.author
Reference.Report.author <-> Resource.Reference.Text.Book.author
Reference.Report.author <-> Resource.Reference.Text.Academic.author
Reference.Report.author <-> Resource.Reference.Text.Report.author
Reference.Report.author <-> Resource.Reference.Text.Part.JournalPart.author
Reference.Report.author <-> Resource.Reference.Text.Part.InBook.author
Reference.Report.author <-> Resource.Reference.Text.Part.InCollection.author
Reference.Report.author <-> Resource.Reference.Text.Part.InProceedings.author
Reference.Informal.Unpublished.author <-> Resource.Reference.Text.Informal.Unpublished.author
Reference.Informal.Unpublished.author <-> Resource.Reference.Text.Part.JournalPart.author
Reference.Informal.Unpublished.author <-> Resource.Reference.Text.Part.InBook.author
Reference.Informal.Unpublished.author <-> Resource.Reference.Text.Part.InCollection.author
Reference.Informal.Unpublished.author <-> Resource.Reference.Text.Part.InProceedings.author
Reference.Part.Article.author <-> Resource.Reference.Text.Book.author
Reference.Part.Article.author <-> Resource.Reference.Text.Academic.author
Reference.Part.Article.author <-> Resource.Reference.Text.Report.author
Reference.Part.Article.author <-> Resource.Reference.Text.Part.JournalPart.author
Reference.Part.Article.author <-> Resource.Reference.Text.Part.InBook.author
Reference.Part.Article.author <-> Resource.Reference.Text.Part.InCollection.author
Reference.Part.Article.author <-> Resource.Reference.Text.Part.InProceedings.author
Reference.Part.InBook.author <-> Resource.Reference.Text.Book.author
Reference.Part.InBook.author <-> Resource.Reference.Text.Academic.author
Reference.Part.InBook.author <-> Resource.Reference.Text.Report.author
Reference.Part.InBook.author <-> Resource.Reference.Text.Part.JournalPart.author
Reference.Part.InBook.author <-> Resource.Reference.Text.Part.InBook.author
Reference.Part.InBook.author <-> Resource.Reference.Text.Part.InCollection.author
Reference.Part.InBook.author <-> Resource.Reference.Text.Part.InProceedings.author
Reference.Part.InCollection.author <-> Resource.Reference.Text.Book.author
Reference.Part.InCollection.author <-> Resource.Reference.Text.Academic.author
Reference.Part.InCollection.author <-> Resource.Reference.Text.Report.author
Reference.Part.InCollection.author <-> Resource.Reference.Text.Part.JournalPart.author
Reference.Part.InCollection.author <-> Resource.Reference.Text.Part.InBook.author
Reference.Part.InCollection.author <-> Resource.Reference.Text.Part.InCollection.author
Reference.Part.InCollection.author <-> Resource.Reference.Text.Part.InProceedings.author
Reference.Part.InProceedings.author <-> Resource.Reference.Text.Book.author
Reference.Part.InProceedings.author <-> Resource.Reference.Text.Academic.author
Reference.Part.InProceedings.author <-> Resource.Reference.Text.Report.author
Reference.Part.InProceedings.author <-> Resource.Reference.Text.Part.JournalPart.author
Reference.Part.InProceedings.author <-> Resource.Reference.Text.Part.InBook.author
Reference.Part.InProceedings.author <-> Resource.Reference.Text.Part.InCollection.author
Reference.Part.InProceedings.author <-> Resource.Reference.Text.Part.InProceedings.author
Reference.Report <-> Resource.Reference.Text.Report
Reference.Informal.Unpublished.note <-> Resource.Reference.Text.Informal.Unpublished.note
Reference.Book.humanCreator <-> Resource.humanCreator
Reference.Book.humanCreator <-> Resource.Reference.humanCreator
Reference.Part <-> Resource.Reference.Text.Part
Reference.Report.Deliverable.contract <-> Resource.Reference.Text.Report.Deliverable.contract
Reference.Informal.Manual <-> Resource.Reference.Text.Informal.Manual
Reference.Part.InProceedings <-> Resource.Reference.Text.Part.InProceedings
Reference.Part.Article.journal <-> Resource.Reference.Text.Part.JournalPart.journal
Reference.Book.Monograph <-> Resource.Reference.Text.Book.Monograph
Reference.Report.Deliverable <-> Resource.Reference.Text.Report.Deliverable
