Reference.Part.InProceedings.proceedings <-> Entry.Section.Communication.inMinutes
Reference.Report.title <-> Entry.Report.heading
Reference.Informal.Manual.title <-> Entry.heading
Reference.Informal.Manual.title <-> Entry.NonFormal.heading
Reference.Informal.Manual.title <-> Entry.NonFormal.ReferenceGuide.heading
Reference.Informal.Manual.title <-> Entry.NonFormal.Manuscript.heading
Reference.Informal.Unpublished.title <-> Entry.heading
Reference.Informal.Unpublished.title <-> Entry.NonFormal.heading
Reference.Informal.Unpublished.title <-> Entry.NonFormal.ReferenceGuide.heading
Reference.Informal.Unpublished.title <-> Entry.NonFormal.Manuscript.heading
Reference.Informal.Booklet <-> Entry.NonFormal.Brochure
Reference.Informal.LectureNotes <-> Entry.NonFormal.CourseMaterial
Reference.Academic.MastersThesis <-> Entry.StudentReport.MScThesis
Reference.Part.pages <-> Entry.Section.pageRange
Reference.Part.pages <-> Entry.Section.JournalPaper.pageRange
Reference.Part.pages <-> Entry.Section.Extract.pageRange
Reference.Part.Article.pages <-> Entry.Section.pageRange
Reference.Part.Article.pages <-> Entry.Section.JournalPaper.pageRange
Reference.Part.Article.pages <-> Entry.Section.Extract.pageRange
Reference.Part.InBook.pages <-> Entry.Section.pageRange
Reference.Part.InBook.pages <-> Entry.Section.JournalPaper.pageRange
Reference.Part.InBook.pages <-> Entry.Section.Extract.pageRange
Reference.Report.TechReport <-> Entry.Report.TechnicalReport
Reference.Book.edition <-> Entry.Book.issue
Reference.Informal.Manual.edition <-> Entry.NonFormal.ReferenceGuide.issue
Reference.Report.institution <-> Entry.Report.issuedBy
Reference.Part.isPartOf <-> Entry.Section.partOf
Reference.Book.Proceedings.organization <-> Entry.Book.CongressMinutes.sponsoredBy
Reference.Informal.Manual.organization <-> Entry.NonFormal.ReferenceGuide.sponsoredBy
Reference.Book.publisher <-> Entry.Book.publishedBy
Reference.Academic.school <-> Entry.StudentReport.issuer
Reference.Misc <-> Entry.Various
Reference.Part.InCollection.collection <-> Entry.Section.InCompilation.inCompilation
Reference.Book.Collection <-> Entry.Book.Compilation
Reference.Academic <-> Entry.StudentReport
Reference.MotionPicture <-> Entry.Movie
Reference.Part.Article <-> Entry.Section.JournalPaper
Reference.Informal <-> Entry.NonFormal
Reference.Book.Proceedings.event <-> Entry.Book.CongressMinutes.meeting
Reference.Book <-> Entry.Book
Reference.Part.InBook.book <-> Entry.Section.Extract.inVolume
Reference.Academic.PhdThesis <-> Entry.StudentReport.DoctoralThesis
Reference.Book.Proceedings <-> Entry.Book.CongressMinutes
Reference.Report.number <-> Entry.Report.number
Reference.Report.number <-> Entry.Section.JournalPaper.number
Reference.Part.Article.number <-> Entry.Report.number
Reference.Part.Article.number <-> Entry.Section.JournalPaper.number
Reference <-> Entry
Reference.Part.InCollection <-> Entry.Section.InCompilation
Reference.author <-> Entry.writtenBy
Reference.author <-> Entry.StudentReport.writtenBy
Reference.author <-> Entry.Report.writtenBy
Reference.author <-> Entry.NonFormal.Manuscript.writtenBy
Reference.author <-> Entry.Section.JournalPaper.writtenBy
Reference.author <-> Entry.Section.Extract.writtenBy
Reference.author <-> Entry.Section.InCompilation.writtenBy
Reference.author <-> Entry.Section.Communication.writtenBy
Reference.Academic.author <-> Entry.writtenBy
Reference.Academic.author <-> Entry.StudentReport.writtenBy
Reference.Academic.author <-> Entry.Report.writtenBy
Reference.Academic.author <-> Entry.Section.JournalPaper.writtenBy
Reference.Academic.author <-> Entry.Section.Extract.writtenBy
Reference.Report.author <-> Entry.writtenBy
Reference.Report.author <-> Entry.StudentReport.writtenBy
Reference.Report.author <-> Entry.Report.writtenBy
Reference.Report.author <-> Entry.Section.JournalPaper.writtenBy
Reference.Report.author <-> Entry.Section.Extract.writtenBy
Reference.Informal.Unpublished.author <-> Entry.writtenBy
Reference.Informal.Unpublished.author <-> Entry.NonFormal.Manuscript.writtenBy
Reference.Part.Article.author <-> Entry.writtenBy
Reference.Part.Article.author <-> Entry.StudentReport.writtenBy
Reference.Part.Article.author <-> Entry.Report.writtenBy
Reference.Part.Article.author <-> Entry.Section.JournalPaper.writtenBy
Reference.Part.Article.author <-> Entry.Section.Extract.writtenBy
Reference.Part.Article.author <-> Entry.Section.InCompilation.writtenBy
Reference.Part.Article.author <-> Entry.Section.Communication.writtenBy
Reference.Part.InBook.author <-> Entry.writtenBy
Reference.Part.InBook.author <-> Entry.StudentReport.writtenBy
Reference.Part.InBook.author <-> Entry.Report.writtenBy
Reference.Part.InBook.author <-> Entry.Section.JournalPaper.writtenBy
Reference.Part.InBook.author <-> Entry.Section.Extract.writtenBy
Reference.Part.InBook.author <-> Entry.Section.InCompilation.writtenBy
Reference.Part.InBook.author <-> Entry.Section.Communication.writtenBy
Reference.Part.InCollection.author <-> Entry.writtenBy
Reference.Part.InCollection.author <-> Entry.StudentReport.writtenBy
Reference.Part.InCollection.author <-> Entry.Report.writtenBy
Reference.Part.InCollection.author <-> Entry.Section.JournalPaper.writtenBy
Reference.Part.InCollection.author <-> Entry.Section.Extract.writtenBy
Reference.Part.InCollection.author <-> Entry.Section.InCompilation.writtenBy
Reference.Part.InCollection.author <-> Entry.Section.Communication.writtenBy
Reference.Part.InProceedings.author <-> Entry.writtenBy
Reference.Part.InProceedings.author <-> Entry.StudentReport.writtenBy
Reference.Part.InProceedings.author <-> Entry.Report.writtenBy
Reference.Part.InProceedings.author <-> Entry.Section.JournalPaper.writtenBy
Reference.Part.InProceedings.author <-> Entry.Section.Extract.writtenBy
Reference.Part.InProceedings.author <-> Entry.Section.InCompilation.writtenBy
Reference.Part.InProceedings.author <-> Entry.Section.Communication.writtenBy
Reference.Report <-> Entry.Report
Reference.Informal.Unpublished.note <-> Entry.NonFormal.Manuscript.comment
Reference.Book.humanCreator <-> Entry.Book.createdBy
Reference.Part <-> Entry.Section
Reference.Report.Deliverable.contract <-> Entry.Report.Deliverable.contract
Reference.Informal.Manual <-> Entry.NonFormal.ReferenceGuide
Reference.Part.InProceedings <-> Entry.Section.Communication
Reference.Part.Article.journal <-> Entry.Section.JournalPaper.inPeriodical
Reference.Book.Monograph <-> Entry.Book.Monograph
Reference.Report.Deliverable <-> Entry.Report.Deliverable
