Reference.Part.InProceedings.proceedings <-> Reference.Part.InProceedings.proceedings
Reference.Part.Article.number <-> Reference.Report.number
Reference.Part.Article.number <-> Reference.Part.Article.number
Reference <-> Reference
Reference.Part.InCollection <-> Reference.Part.InCollection
Reference.author <-> Reference.Book.author
Reference.author <-> Reference.Academic.author
Reference.author <-> Reference.Report.author
Reference.author <-> Reference.Informal.Unpublished.author
Reference.author <-> Reference.Part.Article.author
Reference.author <-> Reference.Part.InBook.author
Reference.author <-> Reference.Part.InCollection.author
Reference.author <-> Reference.Part.InProceedings.author
Reference.Academic.author <-> Reference.Book.author
Reference.Academic.author <-> Reference.Academic.author
Reference.Academic.author <-> Reference.Report.author
Reference.Academic.author <-> Reference.Part.Article.author
Reference.Academic.author <-> Reference.Part.InBook.author
Reference.Academic.author <-> Reference.Part.InCollection.author
Reference.Academic.author <-> Reference.Part.InProceedings.author
Reference.Report.author <-> Reference.Book.author
Reference.Report.author <-> Reference.Academic.author
Reference.Report.author <-> Reference.Report.author
Reference.Report.author <-> Reference.Part.Article.author
Reference.Report.author <-> Reference.Part.InBook.author
Reference.Report.author <-> Reference.Part.InCollection.author
Reference.Report.author <-> Reference.Part.InProceedings.author
Reference.Informal.Unpublished.author <-> Reference.Informal.Unpublished.author
Reference.Informal.Unpublished.author <-> Reference.Part.Article.author
Reference.Informal.Unpublished.author <-> Reference.Part.InBook.author
Reference.Informal.Unpublished.author <-> Reference.Part.InCollection.author
Reference.Informal.Unpublished.author <-> Reference.Part.InProceedings.author
Reference.Part.Article.author <-> Reference.Book.author
Reference.Part.Article.author <-> Reference.Academic.author
Reference.Part.Article.author <-> Reference.Report.author
Reference.Part.Article.author <-> Reference.Part.Article.author
Reference.Part.Article.author <-> Reference.Part.InBook.author
Reference.Part.Article.author <-> Reference.Part.InCollection.author
Reference.Part.Article.author <-> Reference.Part.InProceedings.author
Reference.Part.InBook.author <-> Reference.Book.author
Reference.Part.InBook.author <-> Reference.Academic.author
Reference.Part.InBook.author <-> Reference.Report.author
Reference.Part.InBook.author <-> Reference.Informal.Unpublished.author
Reference.Part.InBook.author <-> Reference.Part.Article.author
Reference.Part.InBook.author <-> Reference.Part.InBook.author
Reference.Part.InBook.author <-> Reference.Part.InCollection.author
Reference.Part.InBook.author <-> Reference.Part.InProceedings.author
Reference.Part.InCollection.author <-> Reference.Book.author
Reference.Part.InCollection.author <-> Reference.Academic.author
Reference.Part.InCollection.author <-> Reference.Report.author
Reference.Part.InCollection.author <-> Reference.Informal.Unpublished.author
Reference.Part.InCollection.author <-> Reference.Part.Article.author
Reference.Part.InCollection.author <-> Reference.Part.InBook.author
Reference.Part.InCollection.author <-> Reference.Part.InCollection.author
Reference.Part.InCollection.author <-> Reference.Part.InProceedings.author
Reference.Part.InProceedings.author <-> Reference.Book.author
Reference.Part.InProceedings.author <-> Reference.Academic.author
Reference.Part.InProceedings.author <-> Reference.Report.author
Reference.Part.InProceedings.author <-> Reference.Informal.Unpublished.author
Reference.Part.InProceedings.author <-> Reference.Part.Article.author
Reference.Part.InProceedings.author <-> Reference.Part.InBook.author
Reference.Part.InProceedings.author <-> Reference.Part.InCollection.author
Reference.Part.InProceedings.author <-> Reference.Part.InProceedings.author
Reference.Report <-> Reference.Report
Reference.Informal.Unpublished.note <-> Reference.Informal.Unpublished.note
Reference.Book.humanCreator <-> Reference.humanCreator
Reference.Part <-> Reference.Part
Reference.Report.Deliverable.contract <-> Reference.Report.Deliverable.contract
Reference.Informal.Manual <-> Reference.Informal.Manual
Reference.Part.InProceedings <-> Reference.Part.InProceedings
Reference.Part.Article.journal <-> Reference.Part.Article.journal
Reference.Book.Monograph <-> Reference.Book.Monograph
Reference.Report.Deliverable <-> Reference.Report.Deliverable
