Reference.Part.InProceedings.proceedings <-> Reference.Part.InProceedings.proceedings
Reference.Part.Article.author <-> Reference.Part.InProceedings.author
Reference.Part.InBook.author <-> Reference.author
Reference.Part.InBook.author <-> Reference.Academic.author
Reference.Part.InBook.author <-> Reference.Report.author
Reference.Part.InBook.author <-> Reference.Informal.Unpublished.author
Reference.Part.InBook.author <-> Reference.Part.Article.author
Reference.Part.InBook.author <-> Reference.Part.InBook.author
Reference.Part.InBook.author <-> Reference.Part.InCollection.author
Reference.Part.InBook.author <-> Reference.Part.InProceedings.author
Reference.Part.InCollection.author <-> Reference.author
Reference.Part.InCollection.author <-> Reference.Academic.author
Reference.Part.InCollection.author <-> Reference.Report.author
Reference.Part.InCollection.author <-> Reference.Informal.Unpublished.author
Reference.Part.InCollection.author <-> Reference.Part.Article.author
Reference.Part.InCollection.author <-> Reference.Part.InBook.author
Reference.Part.InCollection.author <-> Reference.Part.InCollection.author
Reference.Part.InCollection.author <-> Reference.Part.InProceedings.author
Reference.Part.InProceedings.author <-> Reference.author
Reference.Part.InProceedings.author <-> Reference.Academic.author
Reference.Part.InProceedings.author <-> Reference.Report.author
Reference.Part.InProceedings.author <-> Reference.Informal.Unpublished.author
Reference.Part.InProceedings.author <-> Reference.Part.Article.author
Reference.Part.InProceedings.author <-> Reference.Part.InBook.author
Reference.Part.InProceedings.author <-> Reference.Part.InCollection.author
Reference.Part.InProceedings.author <-> Reference.Part.InProceedings.author
Reference.Report <-> Reference.Report
Reference.Informal.Unpublished.note <-> Reference.Informal.Unpublished.note
Reference.Book.humanCreator <-> Reference.Book.humanCreator
Reference.Part <-> Reference.Part
Reference.Report.Deliverable.contract <-> Reference.Report.Deliverable.contract
Reference.Informal.Manual <-> Reference.Informal.Manual
Reference.Part.InProceedings <-> Reference.Part.InProceedings
Reference.Book.Monograph <-> Reference.Book.Monograph
Reference.Report.Deliverable <-> Reference.Report.Deliverable
