Reference.Part.InProceedings.proceedings <-> REFERENCE.Part.In_proceedings.proceedings
Reference.Informal <-> REFERENCE.Informal
Reference.Book.Proceedings.event <-> REFERENCE.Book.Proc_.event
Reference.Book <-> REFERENCE.Book
Reference.Part.InBook.book <-> REFERENCE.Part.In_book.book
Reference.Academic.PhdThesis <-> REFERENCE.Academic.PhD_thesis
Reference.Book.Proceedings <-> REFERENCE.Book.Proc_
Reference.Report.number <-> REFERENCE.Report.number
Reference.Report.number <-> REFERENCE.Part.Article.number
Reference.Part.Article.number <-> REFERENCE.Report.number
Reference.Part.Article.number <-> REFERENCE.Part.Article.number
Reference <-> REFERENCE
Reference.Part.InCollection <-> REFERENCE.Part.In_collection
Reference.author <-> REFERENCE.Book.author
Reference.author <-> REFERENCE.Academic.author
Reference.author <-> REFERENCE.Report.author
Reference.author <-> REFERENCE.Informal.Un_published.author
Reference.author <-> REFERENCE.Part.Article.author
Reference.author <-> REFERENCE.Part.In_book.author
Reference.author <-> REFERENCE.Part.In_collection.author
Reference.author <-> REFERENCE.Part.In_proceedings.author
Reference.Academic.author <-> REFERENCE.Book.author
Reference.Academic.author <-> REFERENCE.Academic.author
Reference.Academic.author <-> REFERENCE.Report.author
Reference.Academic.author <-> REFERENCE.Part.Article.author
Reference.Academic.author <-> REFERENCE.Part.In_book.author
Reference.Academic.author <-> REFERENCE.Part.In_collection.author
Reference.Academic.author <-> REFERENCE.Part.In_proceedings.author
Reference.Report.author <-> REFERENCE.Book.author
Reference.Report.author <-> REFERENCE.Academic.author
Reference.Report.author <-> REFERENCE.Report.author
Reference.Report.author <-> REFERENCE.Informal.Un_published.author
Reference.Report.author <-> REFERENCE.Part.Article.author
Reference.Report.author <-> REFERENCE.Part.In_book.author
Reference.Report.author <-> REFERENCE.Part.In_collection.author
Reference.Report.author <-> REFERENCE.Part.In_proceedings.author
Reference.Informal.Unpublished.author <-> REFERENCE.Informal.Un_published.author
Reference.Informal.Unpublished.author <-> REFERENCE.Part.Article.author
Reference.Informal.Unpublished.author <-> REFERENCE.Part.In_book.author
Reference.Informal.Unpublished.author <-> REFERENCE.Part.In_collection.author
Reference.Informal.Unpublished.author <-> REFERENCE.Part.In_proceedings.author
Reference.Part.Article.author <-> REFERENCE.Part.Article.author
Reference.Part.Article.author <-> REFERENCE.Part.In_book.author
Reference.Part.Article.author <-> REFERENCE.Part.In_collection.author
Reference.Part.Article.author <-> REFERENCE.Part.In_proceedings.author
Reference.Part.InBook.author <-> REFERENCE.Part.Article.author
Reference.Part.InBook.author <-> REFERENCE.Part.In_book.author
Reference.Part.InBook.author <-> REFERENCE.Part.In_collection.author
Reference.Part.InBook.author <-> REFERENCE.Part.In_proceedings.author
Reference.Part.InCollection.author <-> REFERENCE.Part.Article.author
Reference.Part.InCollection.author <-> REFERENCE.Part.In_book.author
Reference.Part.InCollection.author <-> REFERENCE.Part.In_collection.author
Reference.Part.InCollection.author <-> REFERENCE.Part.In_proceedings.author
Reference.Part.InProceedings.author <-> REFERENCE.Part.Article.author
Reference.Part.InProceedings.author <-> REFERENCE.Part.In_book.author
Reference.Part.InProceedings.author <-> REFERENCE.Part.In_collection.author
Reference.Part.InProceedings.author <-> REFERENCE.Part.In_proceedings.author
Reference.Report <-> REFERENCE.Report
Reference.Informal.Unpublished.note <-> REFERENCE.Informal.Un_published.note
Reference.Book.humanCreator <-> REFERENCE.human_creator
Reference.Part <-> REFERENCE.Part
Reference.Report.Deliverable.contract <-> REFERENCE.Report.Deliverable.contract
Reference.Informal.Manual <-> REFERENCE.Informal.Manual
Reference.Part.InProceedings <-> REFERENCE.Part.In_proceedings
Reference.Part.Article.journal <-> REFERENCE.Part.Article.journal
Reference.Book.Monograph <-> REFERENCE.Book.Monograph
Reference.Report.Deliverable <-> REFERENCE.Report.Deliverable
