Reference.Part.InProceedings.proceedings <-> Entry.Part.InProceedings.inProceedings
Reference.Informal.title <-> Entry.Informal.Booklet.title
Reference.Informal.title <-> Entry.Informal.Manual.title
Reference.Informal.title <-> Entry.Informal.TechReport.title
Reference.Informal.title <-> Entry.Informal.Unpublished.title
Reference.Part.title <-> Entry.title
Reference.Part.title <-> Entry.Part.title
Reference.Part.title <-> Entry.Part.Article.title
Reference.Academic.title <-> Entry.title
Reference.Academic.title <-> Entry.Composite.title
Reference.Academic.title <-> Entry.Part.title
Reference.Academic.title <-> Entry.Academic.title
Reference.Academic.title <-> Entry.Published.Article.title
Reference.Report.title <-> Entry.title
Reference.Report.title <-> Entry.Composite.title
Reference.Report.title <-> Entry.Part.title
Reference.Report.title <-> Entry.Academic.title
Reference.Report.title <-> Entry.Published.Article.title
Reference.Informal.Manual.title <-> Entry.title
Reference.Informal.Manual.title <-> Entry.Informal.Booklet.title
Reference.Informal.Manual.title <-> Entry.Informal.Manual.title
Reference.Informal.Manual.title <-> Entry.Informal.TechReport.title
Reference.Informal.Manual.title <-> Entry.Informal.Unpublished.title
Reference.Informal.Unpublished.title <-> Entry.title
Reference.Informal.Unpublished.title <-> Entry.Informal.Booklet.title
Reference.Informal.Unpublished.title <-> Entry.Informal.Manual.title
Reference.Informal.Unpublished.title <-> Entry.Informal.TechReport.title
Reference.Informal.Unpublished.title <-> Entry.Informal.Unpublished.title
Reference.Informal.Booklet <-> Entry.Informal.Booklet
Reference.Informal.LectureNotes <-> Entry.Informal.LectureNotes
Reference.Informal.LectureNotes <-> Entry.Academic.LectureNotes
Reference.Academic.MastersThesis <-> Entry.Academic.Thesis.MastersThesis
Reference.Part.pages <-> Entry.Part.pages
Reference.Part.Article.pages <-> Entry.Part.pages
Reference.Part.InBook.pages <-> Entry.Part.pages
Reference.Report.TechReport <-> Entry.Informal.TechReport
Reference.Book.edition <-> Entry.Published.Book.edition
Reference.Book.edition <-> Entry.Composite.Book.edition
Reference.Book.edition <-> Entry.Informal.Manual.edition
Reference.Informal.Manual.edition <-> Entry.Published.Book.edition
Reference.Informal.Manual.edition <-> Entry.Composite.Book.edition
Reference.Informal.Manual.edition <-> Entry.Informal.Manual.edition
Reference.Report.institution <-> Entry.Informal.TechReport.institution
Reference.Part.isPartOf <-> Entry.Part.isPartOf
Reference.Book.Proceedings.organization <-> Entry.Composite.Proceedings.organization
Reference.Book.Proceedings.organization <-> Entry.Informal.Manual.organization
Reference.Informal.Manual.organization <-> Entry.Composite.Proceedings.organization
Reference.Informal.Manual.organization <-> Entry.Informal.Manual.organization
Reference.Book.publisher <-> Entry.Composite.publisher
Reference.Book.publisher <-> Entry.Composite.Proceedings.publisher
Reference.Academic.school <-> Entry.Academic.school
Reference.Misc <-> Entry.Informal.Misc
Reference.Book.Collection <-> Entry.Published.Book.Collection
Reference.Book.Collection <-> Entry.Composite.Book.Collection
Reference.Academic <-> Entry.Academic
Reference.MotionPicture <-> Entry.MotionPicture
Reference.Part.Article <-> Entry.Published.Article
Reference.Part.Article <-> Entry.Part.Article
Reference.Informal <-> Entry.Informal
Reference.Book <-> Entry.Published.Book
Reference.Book <-> Entry.Composite.Book
Reference.Academic.PhdThesis <-> Entry.Academic.Thesis.PhdThesis
Reference.Book.Proceedings <-> Entry.Composite.Proceedings
Reference.Report.number <-> Entry.Published.Article.number
Reference.Report.number <-> Entry.Informal.TechReport.number
Reference.Report.number <-> Entry.Part.Article.number
Reference.Part.Article.number <-> Entry.Published.Article.number
Reference.Part.Article.number <-> Entry.Informal.TechReport.number
Reference.Part.Article.number <-> Entry.Part.Article.number
Reference <-> Entry
Reference.author <-> Entry.author
Reference.author <-> Entry.Academic.author
Reference.author <-> Entry.Published.Article.author
Reference.author <-> Entry.Informal.TechReport.author
Reference.author <-> Entry.Informal.Unpublished.author
Reference.author <-> Entry.Part.Article.author
Reference.author <-> Entry.Part.InProceedings.author
Reference.Academic.author <-> Entry.author
Reference.Academic.author <-> Entry.Academic.author
Reference.Academic.author <-> Entry.Published.Article.author
Reference.Academic.author <-> Entry.Part.Article.author
Reference.Academic.author <-> Entry.Part.InProceedings.author
Reference.Report.author <-> Entry.author
Reference.Report.author <-> Entry.Academic.author
Reference.Report.author <-> Entry.Published.Article.author
Reference.Report.author <-> Entry.Part.Article.author
Reference.Report.author <-> Entry.Part.InProceedings.author
Reference.Informal.Unpublished.author <-> Entry.author
Reference.Informal.Unpublished.author <-> Entry.Informal.TechReport.author
Reference.Informal.Unpublished.author <-> Entry.Informal.Unpublished.author
Reference.Part.Article.author <-> Entry.author
Reference.Part.Article.author <-> Entry.Part.Article.author
Reference.Part.Article.author <-> Entry.Part.InProceedings.author
Reference.Part.InBook.author <-> Entry.author
Reference.Part.InBook.author <-> Entry.Academic.author
Reference.Part.InBook.author <-> Entry.Published.Article.author
Reference.Part.InBook.author <-> Entry.Informal.TechReport.author
Reference.Part.InBook.author <-> Entry.Informal.Unpublished.author
Reference.Part.InBook.author <-> Entry.Part.Article.author
Reference.Part.InBook.author <-> Entry.Part.InProceedings.author
Reference.Part.InCollection.author <-> Entry.author
Reference.Part.InCollection.author <-> Entry.Academic.author
Reference.Part.InCollection.author <-> Entry.Published.Article.author
Reference.Part.InCollection.author <-> Entry.Informal.TechReport.author
Reference.Part.InCollection.author <-> Entry.Informal.Unpublished.author
Reference.Part.InCollection.author <-> Entry.Part.Article.author
Reference.Part.InCollection.author <-> Entry.Part.InProceedings.author
Reference.Part.InProceedings.author <-> Entry.author
Reference.Part.InProceedings.author <-> Entry.Academic.author
Reference.Part.InProceedings.author <-> Entry.Published.Article.author
Reference.Part.InProceedings.author <-> Entry.Informal.TechReport.author
Reference.Part.InProceedings.author <-> Entry.Informal.Unpublished.author
Reference.Part.InProceedings.author <-> Entry.Part.Article.author
Reference.Part.InProceedings.author <-> Entry.Part.InProceedings.author
Reference.Informal.Unpublished.note <-> Entry.Informal.Unpublished.note
Reference.Book.humanCreator <-> Entry.Published.Book.humanCreator
Reference.Book.humanCreator <-> Entry.Composite.Book.humanCreator
Reference.Part <-> Entry.Part
Reference.Informal.Manual <-> Entry.Informal.Manual
Reference.Part.InProceedings <-> Entry.Part.InProceedings
Reference.Part.Article.journal <-> Entry.Published.Article.inJournal
Reference.Part.Article.journal <-> Entry.Part.Article.inJournal
Reference.Book.Monograph <-> Entry.Published.Book.Monography
Reference.Book.Monograph <-> Entry.Composite.Book.Monography
Reference.Report.Deliverable <-> Entry.Informal.Deliverable
